customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn,avg_monthly_spend,spend_trend_ratio,service_count,streaming_count,has_protection_bundle,is_month_to_month,is_electronic_check,is_auto_payment,is_new_customer,family_account,tenure_bucket,charge_per_service,revenue_at_risk_annual
0002-ORFBO,Female,0,Yes,Yes,9,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,65.6,593.3,0,65.92,0.995,5,1,0,0,0,0,0,1,7-12m,13.12,787.2
0003-MKNFE,Male,0,No,No,9,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,59.9,542.4,0,60.27,0.994,4,1,0,1,0,0,0,0,7-12m,14.97,718.8
0004-TLHLJ,Male,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,73.9,280.85,1,70.21,1.053,3,0,0,1,1,0,1,0,0-6m,24.63,886.8
0011-IGKFF,Male,1,Yes,No,13,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.0,1237.85,1,95.22,1.029,6,2,0,1,1,0,0,1,1-2y,16.33,1176.0
0013-EXCHZ,Female,1,Yes,No,3,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,83.9,267.4,1,89.13,0.941,4,1,0,1,0,0,1,1,0-6m,20.98,1006.8
0013-MHZWF,Female,0,No,Yes,9,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),69.4,571.45,0,63.49,1.093,5,2,0,1,0,1,0,1,7-12m,13.88,832.8
0013-SMEOE,Female,1,Yes,No,71,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.7,7904.25,0,111.33,0.985,8,2,1,0,0,1,0,1,4y+,13.71,1316.4
0014-BMAQU,Male,0,Yes,No,63,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),84.65,5377.8,0,85.36,0.992,5,0,1,0,0,1,0,1,4y+,16.93,1015.8
0015-UOCOJ,Female,1,No,No,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,48.2,340.35,0,48.62,0.991,3,0,0,1,1,0,0,0,7-12m,16.07,578.4
0016-QLJIS,Female,0,Yes,Yes,65,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,90.45,5957.9,0,91.66,0.987,9,2,1,0,0,0,0,1,4y+,10.05,1085.4
0017-DINOC,Male,0,No,No,54,No,No,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),45.2,2460.55,0,45.57,0.992,4,1,1,0,0,1,0,0,4y+,11.3,542.4
0017-IUDMW,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),116.8,8456.75,0,117.45,0.994,9,2,1,0,0,1,0,1,4y+,12.98,1401.6
0018-NYROU,Female,0,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,68.95,351.5,0,70.3,0.981,2,0,0,1,1,0,1,1,0-6m,34.48,827.4
0019-EFAEP,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),101.3,7261.25,0,100.85,1.004,7,1,0,0,0,1,0,0,4y+,14.47,1215.6
0019-GFNTW,Female,0,No,No,56,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),45.05,2560.1,0,45.72,0.985,5,0,1,0,0,1,0,0,4y+,9.01,540.6
0020-INWCK,Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),95.75,6849.4,0,96.47,0.993,6,1,0,0,0,1,0,1,4y+,15.96,1149.0
0020-JDNXP,Female,0,Yes,Yes,34,No,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,61.25,1993.2,0,58.62,1.045,6,2,1,0,0,0,0,1,2-4y,10.21,735.0
0021-IKXGC,Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,72.1,72.1,0,72.1,1.0,3,0,0,1,1,0,1,0,0-6m,24.03,865.2
